Timespan;Date;Time;Download;Upload;Latencia;Jitter;Perda;IP;Região Servidor;Região Teste;Operador
04/06/2020 09:37;04/06/2020;09:37;96.78;17.08;10 ms;4 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 10:37;04/06/2020;10:37;98.99;2.02;11 ms;5 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 11:37;04/06/2020;11:37;95.99;11.39;9 ms;4 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 12:37;04/06/2020;12:37;89.76;9.04;13 ms;4 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 13:37;04/06/2020;13:37;99.53;19.11;5 ms;2 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 14:37;04/06/2020;14:37;46.67;14.70;8 ms;5 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 15:37;04/06/2020;15:37;98.99;12.59;10 ms;8 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 16:37;04/06/2020;16:37;98.97;17.52;5 ms;6 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 17:37;04/06/2020;17:37;3.61;18.39;11 ms;5 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 18:37;04/06/2020;18:37;99.99;14.38;20 ms;2 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 19:37;04/06/2020;19:37;56.37;15.13;8 ms;4 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 20:37;04/06/2020;20:37;69.64;12.76;13 ms;5 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 21:37;04/06/2020;21:37;99.88;17.86;12 ms;7 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
04/06/2020 23:28;04/06/2020;23:28;99.63;14.01;12 ms;4 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
05/06/2020 00:28;05/06/2020;00:28;96.23;17.72;10 ms;4 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
05/06/2020 00:47;05/06/2020;00:47;94.82;18.70;7 ms;2 ms;0%;189.54.248.30;Claro - São José dos Campos-SP;São Paulo;CLARO S.A.
05/06/2020 01:05;05/06/2020;01:05;98.20;17.36;12 ms;9 ms;0%;189.54.248.30;Claro - São Paulo-SP;São Paulo;CLARO S.A.
